name,display_name,aliases,category,display_class,tags,default_route,all_routes,routes_with_dose,has_dose_data,has_duration_data,half_life_minutes,mechanism_summary,effects,references,data_gaps
"1,3-Dimethyl-8-Chloroxanthine",,8-氯茶碱,,medical_rx,,,,,no,no,,,,,"dose_ranges_by_route, duration_by_route, half_life_minutes, mechanism_of_action, references"
"1,4-BDO",,"1,4-B | 1,4-butylene glycol | 4-Butanediol | BDO | butane-1,4-DIOL | liquid fantasy | one comma four | one-four bee | tetramethylene glycol",GABAergic,recreational,,oral,oral,oral,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
"1,4-Butanediol",,"1,4-B | 1,4-BD | 1,4-丁二醇 | 14bd | BD | BDO | Butylene Glycol | One Comma Four | One Four B-D-O | One Four Bee | butane-1,4-DIOL | tetramethylene glycol",Depressant,recreational,ADH-substrate | GHB-prodrug | class:alkanediol | class:diol | ethanol-interaction-major | habit-forming,oral,oral,oral,yes,yes,39.3,Prodrug → GHB (GABA-B Agonist),"Amnesia | Anxiety suppression | Cognitive euphoria | Dehydration | Disinhibition | Dizziness | Empathy, love, and sociability enhancement | Increased libido | Information processing suppression | Motor control loss | Nausea | Physical euphoria | Respiratory depression | Sedation | Stimulation | Thought deceleration",,references
"1-(2,3,4-Trimethoxybenzyl)piperazine","2,3,4-TMBZP","2,3,4-TMBZP | 2,3,4-trimethoxybenzyl-piperazine | 2,3,4-trimethoxybenzylpiperazine",,recreational,,oral,oral,oral,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
"1-(2,5-Dimethoxybenzyl) piperazine","2,5-DMBZP","2,5-DMBZP | 2,5-dimethoxybenzylpiperazine | DMBZP",,recreational,,oral,oral,oral,yes,yes,,,,,"half_life_minutes, mechanism_of_action, references"
16-Bromo-salvinorin A,,16-BR-Sal A | 16-BR-SalA | 16-bromosalvinorin A,Dysdelic,recreational,anti-cocaine-preclinical | biased-agonist-G-protein | kappa-opioid-agonist | longer-duration-than-Sal-A | no-human-data | research-chemical | salvinorin,,,,no,no,,,,,"dose_ranges_by_route, duration_by_route, half_life_minutes, mechanism_of_action, references"
1B-LSD,,1-Bu-LSD | 1-BuLSD | 1-butanoyl-LSD | 1-butyryl-LSD | 1-丁酰基-D-麦角酸二乙酰胺 | 1b | N1-butanoyl-LSD,Psychedelic,recreational,class:lysergamides | prodrug-of-LSD | research-chemical | tentative,oral,oral | sublingual,oral | sublingual,yes,yes,,"基于其与 LSD 的结构相似性，1B-LSD 可能作为 5-HT 受体的部分激动剂。 迷幻效应被认为主要源于其对分布在整个大脑中的 5-HT 受体的效力。1B-LSD 还可能在广泛的单胺受体（如多巴胺和去甲肾上腺素受体）上表现出结合活性。然而，目前还没有数据支持这些说法。

研究表明，1B-LSD（以及酰基同系物 1P-LSD 和 ALD-52）在体内通过 CYP1A2 和 CYP3A4 脱酰基，通过消除丁酸转化为 LSD，这在人类血清和大鼠的研究中都得到了证实哦。",,,"half_life_minutes, references"
1BP-LSD,,,Psychedelic,recreational,boron-compound | lsd-prodrug | no-human-data | psychedelic | research-chemical,,,,no,no,,Presumed LSD prodrug via boronate ester hydrolysis → 5-HT2A partial agonist; boron toxicology completely unstudied.,cognitive amplification,https://en.wikipedia.org/wiki/1BP-LSD,"dose_ranges_by_route, duration_by_route, half_life_minutes"
1Bz-LSD,,1-benzoyl-LSD | syn-L-018,Psychedelic,recreational,lsd-prodrug | no-human-data | psychedelic | research-chemical,,,,no,no,,Presumed LSD prodrug via sequential deethylation (→ 1Bz-LAE) then hydrolysis → LSD; full chain characterized in vitro only.,cognitive amplification,https://en.wikipedia.org/wiki/1Bz-LSD | Azuma 2026 Drug Test Anal,"dose_ranges_by_route, duration_by_route, half_life_minutes"
1cP-AL-LAD,,N1-cyclopropanoyl AL-LAD,Psychedelic,recreational,class:lysergamides,insufflation,insufflation | oral | sublingual,insufflation | oral | sublingual,yes,yes,,"1cP-AL-LAD 可能作为 5-HT 部分激动剂发挥作用喵。人们认为迷幻剂效应来自于 1cP-AL-LAD 在 5-HT 家族受体上的效能。然而，这些相互作用的作用方式以及它们如何导致迷幻体验，仍然是科学界不断阐明的主题呢。

鉴于其 1-环丙酰基取代，1cP-AL-LAD 也被怀疑是 AL-LAD 的前药。这可以与 1cP-LSD 进行类比，后者也很可能是 LSD 的前药。然而，目前还没有足够的数据、轶事或保证来确认 1cP-AL-LAD 具有完全相同的属性哦。

1cP-AL-LAD 还与其母体化合物 LSD 具有许多共同特征；在人类身上，它的效力似乎大致相等（或略低），作用机制也相似，尽管效应的进展和持续时间有所压缩（同时在性质上不那么强烈且更易于管理——这可能是因为它更容易被分解代谢）。",,,"half_life_minutes, references"
